Trial Number,Event,Time
40,States.TrialStarted,1706538553.864064
40,States.M1CM2C,1706538553.864064
41,States.TrialCompleted,1706538553.864064
41,States.CenterReward,1706538553.864064
41,States.TrialStarted,1706538553.864064
41,States.M1CM2C,1706538553.864064
42,States.TrialCompleted,1706538553.864064
42,States.CenterReward,1706538553.864064
42,States.TrialStarted,1706538553.864064
42,States.M1CM2C,1706538553.864064
43,States.TrialCompleted,1706538553.864064
43,States.CenterReward,1706538553.864064
43,States.TrialStarted,1706538553.864064
43,States.M1CM2C,1706538553.864064
44,States.TrialCompleted,1706538553.864064
44,States.CenterReward,1706538553.8690639
44,States.TrialStarted,1706538553.8690639
44,States.M1CM2C,1706538553.8690639
45,States.TrialCompleted,1706538553.8690639
45,States.CenterReward,1706538553.8690639
45,States.TrialStarted,1706538553.8690639
45,States.M1CM2C,1706538553.8690639
46,States.TrialCompleted,1706538553.8690639
46,States.CenterReward,1706538553.8690639
46,States.TrialStarted,1706538553.8690639
46,States.M1CM2C,1706538553.8690639
47,States.TrialCompleted,1706538553.8690639
47,States.CenterReward,1706538553.8690639
47,States.TrialStarted,1706538553.8690639
47,States.M1CM2C,1706538553.8690639
48,States.TrialCompleted,1706538553.8690639
48,States.CenterReward,1706538553.8690639
48,States.TrialStarted,1706538553.874064
48,States.M1CM2C,1706538553.874064
49,States.TrialCompleted,1706538553.874064
49,States.CenterReward,1706538553.874064
49,States.TrialStarted,1706538553.874064
49,States.M1CM2C,1706538553.874064
50,States.TrialCompleted,1706538553.874064
50,States.CenterReward,1706538553.874064
50,States.TrialStarted,1706538553.874064
50,States.M1CM2C,1706538553.874064
51,States.TrialCompleted,1706538553.874064
51,States.CenterReward,1706538553.874064
51,States.TrialStarted,1706538553.874064
51,States.M1CM2C,1706538553.874064
52,States.TrialCompleted,1706538553.874064
52,States.CenterReward,1706538553.874064
52,States.TrialStarted,1706538553.874064
52,States.M1CM2C,1706538553.8790653
53,States.TrialCompleted,1706538553.8790653
53,States.CenterReward,1706538553.8790653
53,States.TrialStarted,1706538553.8790653
53,States.M1CM2C,1706538553.8790653
54,States.TrialCompleted,1706538553.8790653
54,States.CenterReward,1706538553.8790653
54,States.TrialStarted,1706538553.8790653
54,States.M1CM2C,1706538553.8790653
55,States.TrialCompleted,1706538553.8790653
55,States.CenterReward,1706538553.8790653
55,States.TrialStarted,1706538553.8790653
55,States.M1CM2C,1706538553.8790653
56,States.TrialCompleted,1706538553.8790653
56,States.CenterReward,1706538553.8790653
56,States.TrialStarted,1706538553.8840642
56,States.M1CM2C,1706538553.8840642
57,States.TrialCompleted,1706538553.8840642
57,States.CenterReward,1706538553.8840642
