Trial Number,Event,Time
40,States.CenterReward,1706538342.838906
40,States.TrialStarted,1706538342.838906
40,States.M1CM2C,1706538342.838906
41,States.TrialCompleted,1706538342.838906
41,States.CenterReward,1706538342.838906
41,States.TrialStarted,1706538342.838906
41,States.M1CM2C,1706538342.838906
42,States.TrialCompleted,1706538342.838906
42,States.CenterReward,1706538342.838906
42,States.TrialStarted,1706538342.838906
42,States.M1CM2C,1706538342.838906
43,States.TrialCompleted,1706538342.838906
43,States.CenterReward,1706538342.838906
43,States.TrialStarted,1706538342.838906
43,States.M1CM2C,1706538342.8439074
44,States.TrialCompleted,1706538342.8439074
44,States.CenterReward,1706538342.8439074
44,States.TrialStarted,1706538342.8439074
44,States.M1CM2C,1706538342.8439074
45,States.TrialCompleted,1706538342.8439074
45,States.CenterReward,1706538342.8439074
45,States.TrialStarted,1706538342.8439074
45,States.M1CM2C,1706538342.8439074
46,States.TrialCompleted,1706538342.8439074
46,States.CenterReward,1706538342.8439074
46,States.TrialStarted,1706538342.8439074
46,States.M1CM2C,1706538342.8439074
47,States.TrialCompleted,1706538342.8439074
47,States.CenterReward,1706538342.8439074
47,States.TrialStarted,1706538342.8439074
47,States.M1CM2C,1706538342.8439074
48,States.TrialCompleted,1706538342.8489068
48,States.CenterReward,1706538342.8489068
48,States.TrialStarted,1706538342.8489068
48,States.M1CM2C,1706538342.8489068
49,States.TrialCompleted,1706538342.8489068
49,States.CenterReward,1706538342.8489068
49,States.TrialStarted,1706538342.8489068
49,States.M1CM2C,1706538342.8489068
50,States.TrialCompleted,1706538342.8489068
50,States.CenterReward,1706538342.8489068
50,States.TrialStarted,1706538342.8489068
50,States.M1CM2C,1706538342.8489068
51,States.TrialCompleted,1706538342.8489068
51,States.CenterReward,1706538342.8489068
51,States.TrialStarted,1706538342.8489068
51,States.M1CM2C,1706538342.8489068
52,States.TrialCompleted,1706538342.8489068
52,States.CenterReward,1706538342.853906
52,States.TrialStarted,1706538342.853906
52,States.M1CM2C,1706538342.853906
53,States.TrialCompleted,1706538342.853906
53,States.CenterReward,1706538342.853906
53,States.TrialStarted,1706538342.853906
53,States.M1CM2C,1706538342.853906
54,States.TrialCompleted,1706538342.853906
54,States.CenterReward,1706538342.853906
54,States.TrialStarted,1706538342.853906
54,States.M1CM2C,1706538342.853906
55,States.TrialCompleted,1706538342.853906
55,States.CenterReward,1706538342.853906
55,States.TrialStarted,1706538342.853906
55,States.M1CM2C,1706538342.853906
56,States.TrialCompleted,1706538342.853906
56,States.CenterReward,1706538342.8589072
56,States.TrialStarted,1706538342.8589072
56,States.M1CM2C,1706538342.8589072
57,States.TrialCompleted,1706538342.8589072
57,States.CenterReward,1706538342.8589072
57,States.TrialStarted,1706538342.8589072
57,States.M1CM2C,1706538342.8589072
58,States.TrialCompleted,1706538342.8589072
58,States.CenterReward,1706538342.8589072
58,States.TrialStarted,1706538342.8589072
58,States.M1CM2C,1706538342.8589072
59,States.TrialCompleted,1706538342.8589072
59,States.CenterReward,1706538342.8589072
59,States.TrialStarted,1706538342.8589072
59,States.M1CM2C,1706538342.8589072
60,States.TrialCompleted,1706538342.8589072
60,States.CenterReward,1706538342.8639069
60,States.TrialStarted,1706538342.8639069
60,States.M1CM2C,1706538342.8639069
61,States.TrialCompleted,1706538342.8639069
61,States.CenterReward,1706538342.8639069
61,States.TrialStarted,1706538342.8639069
61,States.M1CM2C,1706538342.8639069
62,States.TrialCompleted,1706538342.8639069
62,States.CenterReward,1706538342.8639069
62,States.TrialStarted,1706538342.8639069
62,States.M1CM2C,1706538342.8639069
63,States.TrialCompleted,1706538342.8639069
63,States.CenterReward,1706538342.8639069
63,States.TrialStarted,1706538342.8639069
63,States.M1CM2C,1706538342.8639069
64,States.TrialCompleted,1706538342.8639069
64,States.CenterReward,1706538342.8639069
64,States.TrialStarted,1706538342.8689065
64,States.M1CM2C,1706538342.8689065
65,States.TrialCompleted,1706538342.8689065
65,States.CenterReward,1706538342.8689065
65,States.TrialStarted,1706538342.8689065
65,States.M1CM2C,1706538342.8689065
66,States.TrialCompleted,1706538342.8689065
66,States.CenterReward,1706538342.8689065
66,States.TrialStarted,1706538342.8689065
66,States.M1CM2C,1706538342.8689065
67,States.TrialCompleted,1706538342.8689065
67,States.CenterReward,1706538342.8689065
67,States.TrialStarted,1706538342.8689065
67,States.M1CM2C,1706538342.8689065
68,States.TrialCompleted,1706538342.8689065
68,States.CenterReward,1706538342.8689065
68,States.TrialStarted,1706538342.8689065
68,States.M1CM2C,1706538342.8739066
69,States.TrialCompleted,1706538342.8739066
69,States.CenterReward,1706538342.8739066
69,States.TrialStarted,1706538342.8739066
69,States.M1CM2C,1706538342.8739066
70,States.TrialCompleted,1706538342.8739066
70,States.CenterReward,1706538342.8739066
70,States.TrialStarted,1706538342.8739066
70,States.M1CM2C,1706538342.8739066
71,States.TrialCompleted,1706538342.8739066
71,States.CenterReward,1706538342.8739066
71,States.TrialStarted,1706538342.8739066
71,States.M1CM2C,1706538342.8739066
72,States.TrialCompleted,1706538342.8739066
72,States.CenterReward,1706538342.8739066
72,States.TrialStarted,1706538342.8739066
72,States.M1CM2C,1706538342.8789072
73,States.TrialCompleted,1706538342.8789072
73,States.CenterReward,1706538342.8789072
73,States.TrialStarted,1706538342.8789072
73,States.M1CM2C,1706538342.8789072
74,States.TrialCompleted,1706538342.8789072
74,States.CenterReward,1706538342.8789072
74,States.TrialStarted,1706538342.8789072
74,States.M1CM2C,1706538342.8789072
75,States.TrialCompleted,1706538342.8789072
75,States.CenterReward,1706538342.8789072
75,States.TrialStarted,1706538342.8789072
75,States.M1CM2C,1706538342.8789072
76,States.TrialCompleted,1706538342.8789072
76,States.CenterReward,1706538342.8789072
76,States.TrialStarted,1706538342.8789072
76,States.M1CM2C,1706538342.8789072
77,States.TrialCompleted,1706538342.8838677
77,States.CenterReward,1706538342.8838677
77,States.TrialStarted,1706538342.8838677
77,States.M1CM2C,1706538342.8838677
78,States.TrialCompleted,1706538342.8838677
78,States.CenterReward,1706538342.8838677
78,States.TrialStarted,1706538342.8838677
78,States.M1CM2C,1706538342.8838677
79,States.TrialCompleted,1706538342.8838677
79,States.CenterReward,1706538342.8838677
79,States.TrialStarted,1706538342.8838677
